Column,Bidirectional LSTM,DNN,GRU,LSTM,SimpleRNN
 ,0.49756361726152815,0.49756361726152815,0.49756361726152815,0.49756361726152815,0.49756361726152815
Point(138.8275195 36.5786787),0.1261592942796073,0.1261592942796073,0.1261592942796073,0.1261592942796073,0.1261592942796073
Point(138.8939601 36.25898610000001),0.4429733409329055,0.4429733409329055,0.4429733409329055,0.4429733409329055,0.4429733409329055
Point(138.9955116 36.33801589999999),0.3978865534069747,0.3978865534069747,0.3978865534069747,0.3978865534069747,0.3978865534069747
Point(139.0428727 36.3816035),0.15892541324559584,0.15892541324559584,0.15892541324559584,0.15892541324559584,0.15892541324559584
Point(139.0432674 36.64710669999999),0.32949861299830724,0.32949861299830724,0.32949861299830724,0.32949861299830724,0.32949861299830724
Point(139.0960211 36.4047323),0.5303984363970261,0.5303984363970261,0.5303984363970261,0.5303984363970261,0.5303984363970261
Point(139.342672 36.4105658),0.3533278257964758,0.3533278257964758,0.3533278257964758,0.3533278257964758,0.3533278257964758
Point(139.3817322 36.2909131),0.2987598371638916,0.2987598371638916,0.2987598371638916,0.2987598371638916,0.2987598371638916
Point(139.5317782 36.2499123),0.2052285286716327,0.2052285286716327,0.2052285286716327,0.2052285286716327,0.2052285286716327
